STORE,CITY,STATE,ZIP
603,FAIRVIEW HEIGHTS    ,IL,62208
807,RICHARDSON          ,TX,75081
903,ST. PETERS          ,MO,63376
907,DENTON              ,TX,76205
1702,LAKE WALES          ,FL,33859
2103,KANSAS CITY         ,MO,64114
2209,SANTA FE            ,NM,87505
2509,LAS CRUCES          ,NM,88011
2704,MURFREESBORO        ,TN,37129
2807,HARLINGEN           ,TX,78552
3109,OGDEN               ,UT,84405
3202,ORANGE PARK         ,FL,32073
3309,PROVO               ,UT,84601
4103,OMAHA               ,NE,68114
4504,WINSTON-SALEM       ,NC,27103
4702,MARY ESTHER         ,FL,32569
4804,ASHEVILLE           ,NC,28805
7103,AKRON               ,OH,44333
7704,RICHMOND            ,VA,23235
8309,CENTENNIAL          ,CO,80122
8409,LITTLETON           ,CO,80123
8707,PORT ARTHUR         ,TX,77642
9303,LOUISVILLE          ,KY,40216
9603,LOUISVILLE          ,KY,40219
9609,LONGMONT            ,CO,80501
